timestamp,lat,lon,incident_coords,incident_count,incident_magnitudes,incident_delays,incident_roads,incident_id,icon_category,start_time,end_time,from_location,to_location,length,time_validity,probability,num_reports,last_report,tmc_countryCode,tmc_tableNumber,tmc_tableVersion,tmc_direction,event_descriptions,avg_speed,free_flow_speed,jam_factor,temp,wind,rain
2025-09-08T18:11:10,48.8830447539,2.283235747,"[[2.283235747, 48.8830447539]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079224011000,9,2025-09-08 19:30:00+02:00,2025-09-09 04:00:00+02:00,17e Arrondissement,Boulevard d'Aurelle de Paladines / Rue Gustave Charpentier,63.7892,present,probable,,,,,,,['Roadworks'],23,23,1.0,21.35,3.6,0.0
2025-09-08T18:11:30,48.8861306199,2.2881012741,"[[2.2881012741, 48.8861306199]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079320002000,9,2025-09-08 19:30:00+02:00,2025-09-09 04:00:00+02:00,Carrefour Bineau - Avenue de la Porte de Villiers (D908),Porte de Champerret - Périphérique Extérieur (D908),9.6929139947,present,probable,,,F,32,12.1,negative,['Roadworks'],12,15,1.253968253968254,21.35,3.6,0.0
2025-09-08T18:11:41,48.8867890845,2.2890521172,"[[2.2890521172, 48.8867890845]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079368002000,9,2025-09-08 19:30:00+02:00,2025-09-09 04:00:00+02:00,Rue du Caporal Peugeot (Rue Jean Oestreicher),Avenue de la Porte de Champerret (Rue Jean Oestreicher),34.4532118454,present,probable,,,F,32,12.1,positive,['Roadworks'],29,29,1.0,21.35,3.6,0.0
2025-09-08T18:11:51,48.8825565603,2.2867360297,"[[2.2867360297, 48.8825565603]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079300042000,9,2025-09-08 19:30:00+02:00,2025-09-09 04:00:00+02:00,Boulevard Pershing (Boulevard Gouvion-Saint-Cyr),Porte de Champerret - Place Stuart Merril (Avenue Stéphane Mallarmé - Avenue Paul Adam),502.5327931492,present,probable,,,F,32,12.1,positive,['Roadworks'],16,16,1.0,21.35,3.6,0.0
2025-09-08T18:12:01,48.8890381166,2.2904629592,"[[2.2904629592, 48.8890381166]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38503079292014000,8,2025-09-08 08:38:58+02:00,,Rue Jacques Ibert (D17),Rue du Président Wilson,193.7700344315,present,probable,,,,,,,['Closed'],29,29,1.0,21.35,3.6,0.0
2025-09-08T18:12:11,48.8872786146,2.2910704795,"[[2.2910704795, 48.8872786146]]",1,[0],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38505964772018000,9,2025-09-08 19:30:00+02:00,2025-09-09 04:00:00+02:00,Boulevard de la Somme / Rue du Caporal Peugeot,17e Arrondissement,189.2726137376,present,probable,,,,,,,['Roadworks'],49,49,1.0,21.35,3.6,0.0
2025-09-08T18:12:21,48.8891092119,2.2969941381,"[[2.2969941381, 48.8891092119]]",1,[3],[303],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38505964844013000,6,2025-09-08 20:06:30+02:00,2025-09-08 20:33:36+02:00,Porte d'Asnières - Avenue de la Porte d'Asnières - D909 (Boulevard de Reims),Porte de Courcelles - Rue de Courcelles (Boulevard de Reims),181.347714404,present,certain,,,F,32,12.1,negative,['Stationary traffic'],59,59,1.0,21.35,3.6,0.0
2025-09-08T18:12:32,48.8780518034,2.3052633885,"[[2.3052633885, 48.8780518034]]",1,[4],[None],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTR38514621164022000,8,2025-09-08 19:52:30+02:00,,Avenue Hoche / Avenue Van Dyck,Boulevard de Courcelles,169.6793749871,present,probable,,,,,,,['Closed'],26,26,1.0,21.35,3.6,0.0
2025-09-08T18:12:42,48.8838212678,2.3089326504,"[[2.3089326504, 48.8838212678]]",1,[1],[219],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38508850352027000,6,2025-09-08 20:04:00+02:00,2025-09-08 20:29:36+02:00,Place du Général Catroux - Avenue de Villiers (Boulevard Malesherbes),Place de Wagram (Boulevard Malesherbes),479.2188882237,present,certain,,,F,32,12.1,negative,['Slow traffic'],13,19,1.463768115942029,21.35,3.6,0.0
2025-09-08T18:12:52,48.8878338358,2.3103689734,"[[2.3103689734, 48.8878338358]]",1,[2],[90],[[]],TTI-118583b3-db60-4839-baeb-3fcce9926448-TTL38508850316023000,6,2025-09-08 19:45:05+02:00,2025-09-08 20:29:36+02:00,Boulevard Péreire,Rue de Tocqueville,179.7300827369,present,certain,,,,,,,['Queuing traffic'],15,19,1.265625,21.35,3.6,0.0
